category,datetime,headline,id,image,related,source,summary,url
company,2023-06-23 07:56:00,7 Dividend Stocks to Hedge Against Rising Inflation,121018924,,AEP,InvestorPlace,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b587adcaf975fec5969b649764f6ecadc257228f84ffe612586e995eb3f4be5a
company,2023-06-22 18:51:00,"American Electric Power Co. Inc. stock falls Thursday, underperforms market",121010375,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. dropped 0.41% to $85.10 Thursday, on what proved to be an all-around mixed trading session for the stock market,...",https://finnhub.io/api/news?id=a404162826099177e2b681d6b2b1e3a9c0b8528faf190dde6a37c3e64134814d
company,2023-06-22 13:46:00,"Blackstone Injects $1B More Into Invenergy, Raising Total Stake To $4B To Propel Business Initiatives",121003879,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=879522c05f942952f03383a19dfd46c62fa61f3f427e358209194a7f05aae8c1
company,2023-06-23 18:51:00,"American Electric Power Co. Inc. stock falls Friday, underperforms market",121076818,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. shed 1.89% to $83.49 Friday, on what proved to be an all-around dismal trading session for the stock market, with...",https://finnhub.io/api/news?id=37fb40c6a409d2052604834527d81f3784067098f885f9887089218f819e181a
company,2023-06-23 12:36:00,P/E Ratio Insights for American Electric Power,121020864,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a4ecab050583865766c9838abab2b1a9cfbffae1cb7943e157cd666d7499a325
company,2023-06-23 12:04:00,Where American Electric Power Stands With Analysts,121020865,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=661d6149dcecdb482410df26af699fe8ac82c1de30ffd8f593631e42b1ceb786
company,2023-06-23 11:51:00,What Does American Electric Power's Debt Look Like?,121020866,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=943a86d3f26855bc4957f10d08d0b3dd19fbdd949a832dc5b9b2f693f68bb59e
company,2023-06-23 07:56:00,7 Dividend Stocks to Hedge Against Rising Inflation,121018924,,AEP,InvestorPlace,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b587adcaf975fec5969b649764f6ecadc257228f84ffe612586e995eb3f4be5a
company,2023-06-26 18:51:00,American Electric Power Co. Inc. stock outperforms competitors on strong trading day,121076816,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.35% higher to $83.78 Monday, on what proved to be an all-around dismal trading session for the stock...",https://finnhub.io/api/news?id=ee8547392d521e5fb5c58307cbcdaaba8ecce198e9c2b6bd5c1fc17caa783152
company,2023-06-26 06:28:00,Ecofin US Renewables Wind Farm Temporarily Ceases Operations After Tornado,121076817,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,AEP,MarketWatch,By Joe Hoppe Ecofin U.S. Renewables Infrastructure Trust said Monday that following a recent tornado in Texas its Whirlwind Energy wind farm in Floydada has...,https://finnhub.io/api/news?id=fd382f0f7e9fc63f579b3915095a0b3c99e710c5055a603de438be661a99d303
